ID,Name,Area / Locality,Address,Type,Latitude,Longitude,Total Slots,Available Slots,Price/Hr (₹),Facilities,Timings,Managed By,Notes
P001,Phoenix Palladium Basement Parking,Lower Parel,"Phoenix Palladium Mall, Senapati Bapat Marg, Lower Parel, Mumbai 400013",Mall Basement,18.9943,72.8261,450,120,60,"CCTV, EV Charging, Lifts, Security",24/7,Phoenix Mills Ltd,Multi-level basement; B1 & B2 floors
P002,Palladium Luxury Wing Parking,Lower Parel,"High Street Phoenix, LBS Marg, Lower Parel, Mumbai 400013",Mall Basement,18.9938,72.8255,200,45,80,"CCTV, Valet, Security",10AM–11PM,Phoenix Mills Ltd,Valet available at ₹150 extra
P003,Infinity Mall Andheri Parking,Andheri West,"Infinity Mall, New Link Rd, Oshiwara, Andheri West, Mumbai 400053",Mall Parking,19.1367,72.8298,600,210,50,"CCTV, EV Charging, Food Court Access",10AM–11PM,Raheja Group,Largest mall parking in Andheri West
P004,Infinity Mall Malad Parking,Malad West,"Infinity Mall, Mindspace, Malad West, Mumbai 400064",Mall Parking,19.1868,72.8479,500,180,50,"CCTV, Security, Food Court Access",10AM–11PM,Raheja Group,
P005,Oberoi Mall Parking,Goregaon East,"Oberoi Mall, Western Express Hwy, Goregaon East, Mumbai 400063",Mall Parking,19.1602,72.8491,700,350,40,"CCTV, EV Charging, Security, Lifts",10AM–10:30PM,Oberoi Realty,Near Hub Mall; ample space
P006,R City Mall Parking,Ghatkopar West,"R City Mall, LBS Marg, Ghatkopar West, Mumbai 400086",Mall Parking,19.0871,72.9081,800,300,50,"CCTV, EV Charging, Lifts, Disabled Access",10AM–11PM,Runwal Group,One of largest malls in Eastern suburbs
P007,Viviana Mall Parking,Thane,"Viviana Mall, Pokhran Rd No 2, Thane West, Thane 400601",Mall Parking,19.2183,72.9781,1000,420,40,"CCTV, EV Charging, Security, Disabled Access",10AM–10PM,Viviana Mall,Just outside Mumbai limits; popular destination
P008,Jio World Drive Parking,BKC,"Jio World Drive, G Block, BKC, Bandra East, Mumbai 400051",Mall Parking,19.0655,72.865,600,230,80,"CCTV, EV Charging, Valet, Disabled Access",10AM–11PM,Reliance Industries,Premium parking; EV bays plentiful
P009,MMRDA BKC G Block Parking,BKC,"G Block, BKC Road, Bandra Kurla Complex, Mumbai 400051",Public Paid,19.0631,72.8674,850,400,60,"CCTV, Security, 13 Floors",24/7,MMRDA,13-floor + 2 underground; 850 car bays
P010,Kalanagar MHADA Parking,Bandra East,"Near MHADA Office, Kalanagar, Bandra East, Mumbai 400051",Public Paid,19.0554,72.8634,50,20,30,Security,8AM–10PM,BMC,Small lot; 50 cars + 100 bikes
P011,Linking Road Parking,Bandra West,"Linking Road, Hill Road Junction, Bandra West, Mumbai 400050",Public Paid,19.0607,72.8362,80,30,40,"CCTV, Security",8AM–11PM,BMC,Popular shopping belt parking
P012,Elco Market Parking,Bandra West,"Hill Road, Elco Market, Bandra West, Mumbai 400050",Public Paid,19.0573,72.8344,60,25,30,Security,8AM–10PM,BMC,
